TIME_STAMP,Iperf Analysis Statistics DM Monitor Rx Throughput (Mbps)
2025-10-28 21:20:49.934552,79.500
2025-10-28 21:20:50.933879,74.800
2025-10-28 21:20:51.935708,70.900
2025-10-28 21:20:52.936034,69.100
2025-10-28 21:20:53.932934,65.400
2025-10-28 21:20:54.934563,54.000
2025-10-28 21:20:55.935350,55.100
2025-10-28 21:20:56.932560,50.800
2025-10-28 21:22:10.853178,242.000
2025-10-28 21:22:11.850044,216.000
2025-10-28 21:22:12.850947,212.000
2025-10-28 21:22:13.850708,256.000
2025-10-28 21:22:14.851520,194.000
2025-10-28 21:22:15.853286,182.000
2025-10-28 21:22:16.849874,174.000
2025-10-28 21:22:17.850234,166.000
2025-10-28 21:22:18.849760,173.000
2025-10-28 21:22:19.849267,191.000
2025-10-28 21:22:20.850666,196.000
2025-10-28 21:22:21.851836,201.000
2025-10-28 21:22:22.849520,177.000
2025-10-28 21:22:23.850277,172.000
2025-10-28 21:22:24.850713,172.000
2025-10-28 21:22:25.849605,188.000
2025-10-28 21:22:26.849952,194.000
2025-10-28 21:22:27.850485,188.000
2025-10-28 21:22:28.849769,184.000
2025-10-28 21:22:29.849200,185.000
2025-10-28 21:22:30.850537,194.000
2025-10-28 21:22:31.849211,206.000
2025-10-28 21:22:32.849585,204.000
2025-10-28 21:22:33.850630,207.000
2025-10-28 21:22:34.849925,212.000
2025-10-28 21:22:35.851427,216.000
2025-10-28 21:22:36.851214,211.000
2025-10-28 21:22:37.849885,215.000
2025-10-28 21:22:38.851172,207.000
2025-10-28 21:22:41.226999,211.000
2025-10-28 21:22:41.237601,1020.000
2025-10-28 21:22:41.240609,198.000
2025-10-28 21:25:39.098271,78.700
2025-10-28 21:25:40.097705,106.000
2025-10-28 21:25:41.097350,16.500
2025-10-28 21:25:42.097401,15.500
2025-10-28 21:25:43.100820,40.000
2025-10-28 21:25:44.102776,63.400
2025-10-28 21:25:44.901378,63.400
2025-10-28 21:26:04.072448,80.900
